Unit,Terminal,IP,MAC,,Switch,Port,Power,Orion,Zabbix
Voke 2,T17127,10.209.25.73,9c:6b:00:04:e7:da,,14,27,18.1,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=113438&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38922
Voke 2,T20863,10.209.25.47,a8:a1:59:5d:a5:89,,7,7,18.9,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55891&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38923
Voke 2,T20888,10.209.25.58,a8:a1:59:5d:a7:e1,,10,5,18.7,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55866&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38924
Voke 2,T23095,10.209.25.85,70:85:c2:e6:1e:43,,4,20,19.8,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55864&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38925
Voke 3,T26184,10.209.25.61,a8:a1:59:e5:fa:45,,10,6,16.9,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55871&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32832
Voke 3,T9279,10.209.25.96,70:85:c2:17:b1:a9,,7,9,18.1,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=73497&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32845
Voke 4,,,,,,,,,
Voke 4,,,,,,,,,
Voke 4,,,,,,,,,
Intake POD,,,,,,,,,
Intake POD,,,,,,,,,
Infirmary,,,,,,,,,
Gym,,,,,,,,,
Gym,,,,,,,,,
Upper Program,,,,,,,,,
